Japanese,English,Reading
ドアチェーン,door chain,ドアチェーン
ドアチェック,door check,ドアチェック
ドアツードア,door-to-door,ドアツードア
ドアツードアセールス,door-to-door sales,ドアツードアセールス
ドアボーイ,doorman,ドアボーイ
ドアマット,doormat,ドアマット
ドアマン,doorman,ドアマン
ドアミラー,wing mirror,ドアミラー
ドアロック,door lock (on a car),ドアロック
ドイツマルク,deutschmark (former currency of Germany),ドイツマルク
ドイツ語,German (language),ドイツご
ドイツ人,German person,ドイツじん
ドイツ民主共和国,German Democratic Republic,ドイツみんしゅきょうわこく
ドイツ連邦共和国,Federal Republic of Germany (former West Germany),ドイツれんぽうきょうわこく
ドイリー,doily,ドイリー
ドゥーイットユアセルフ,do-it-yourself,ドゥーイットユアセルフ
ドゥーワップ,doo-wop,ドゥーワップ
ドゥエリング,dwelling,ドゥエリング
ドエリング,dwelling,ドエリング
ドエル,dwell,ドエル
ドキュメンタリー,documentary,ドキュメンタリー
ドキュメンタリードラマ,documentary drama,ドキュメンタリードラマ
ドキュメンタル,documentary,ドキュメンタル
ドキュメンテーション,documentation,ドキュメンテーション
ドキュメント,document,ドキュメント
ドギーバッグ,doggie bag,ドギーバッグ
ドクター,doctor,ドクター
ドクターコース,doctoral program,ドクターコース
ドクターストップ,"being ordered to quit something by one's doctor (e.g. drinking, smoking, overeating)",ドクターストップ
ドクトリン,doctrine,ドクトリン
ドグマ,dogma,ドグマ
ドグマチスト,dogmatist,ドグマチスト
ドグマチズム,dogmatism,ドグマチズム
ドグマティック,dogmatic,ドグマティック
ドサ,thud,ドサ
ＤＯＳ,disk operating system,ドス
ドスキン,doeskin,ドスキン
ドタン,thud,ドタン
ドッキング,docking,ドッキング
ドック,dock,ドック
ドッグファイト,dogfight (aircraft),ドッグファイト
ドッジボール,dodgeball,ドッジボール
ドット,dot,ドット
ドットプリンター,dot matrix printer,ドットプリンター
ドットマップ,dot map,ドットマップ
ドットマトリックス,dot matrix,ドットマトリックス
ドデカフォニー,dodecaphony,ドデカフォニー
ドナー,"donor (blood, organ, etc.)",ドナー
ドミナント,"dominant (note, chord)",ドミナント
ドミノ,domino (game),ドミノ
ドメイン,domain,ドメイン
ドメス,domestic,ドメス
ドメスチック,domestic,ドメスチック
ドメスチックサイエンス,domestic science,ドメスチックサイエンス
ドライ,dry,ドライ
ドライアイス,dry ice,ドライアイス
ドライカレー,curried pilaf,ドライカレー
ドライクリーニング,dry cleaning,ドライクリーニング
ドライシェービング,dry shaving,ドライシェービング
ドライシャンプー,dry shampoo,ドライシャンプー
ドライジン,dry gin,ドライジン
ドライスーツ,dry suit,ドライスーツ
ドライスキン,dry skin,ドライスキン
ドライソーセージ,dried sausage,ドライソーセージ
ドライバー,driver (of a vehicle),ドライバー
ドライフラワー,dried flowers,ドライフラワー
ドライブ,drive,ドライブ
ドライブイン,"drive-in (bank, cinema, etc.)",ドライブイン
ドライブインシアター,drive-in theater,ドライブインシアター
ドライブインバンク,drive-in bank,ドライブインバンク
ドライブインレストラン,drive-in restaurant,ドライブインレストラン
ドライブウェイ,driveway,ドライブウェイ
ドライブサーブ,drive serve,ドライブサーブ
ドライブスルー,drive-through,ドライブスルー
ドライブマップ,road map,ドライブマップ
ドライペイント,dry paint,ドライペイント
ドライポイント,drypoint,ドライポイント
ドライマティーニ,dry martini,ドライマティーニ
ドライミルク,dry milk,ドライミルク
ドライヤー,dryer (esp. hair),ドライヤー
ドラコン,driving contest,ドラコン
ドラゴン,dragon (as depicted in Western myths),ドラゴン
ドラッギング,dragging,ドラッギング
ドラッグ,drug,ドラッグ
ドラッグストア,drugstore,ドラッグストア
ドラッグバント,drag bunt,ドラッグバント
ドラッグレース,drag race,ドラッグレース
ドラフト,draft (esp. in baseball),ドラフト
ドラフトビール,draft beer,ドラフトビール
ドラマ,(non-documentary) television series,ドラマ
ドラマー,drummer,ドラマー
ドラマチスト,dramatist,ドラマチスト
ドラマチック,dramatic,ドラマチック
ドラミング,drumming,ドラミング
ドラム,drum,ドラム
ドラムセット,drum set,ドラムセット
ドラムソロ,drum solo,ドラムソロ
ドラムマシーン,drum machine,ドラムマシーン
ドラ息子,lazy son,ドラむすこ
ドリー,dolly,ドリー
ドリーネ,"doline (sinkhole, in karst topography)",ドリーネ
ドリーマー,dreamer,ドリーマー
ドリーミー,dreamy,ドリーミー
ドリーミング,dreaming,ドリーミング
ドリーム,dream,ドリーム
ドリア,"pilaf topped with bechamel or other cheese-based sauce, then oven baked",ドリア
ドリアン,durian (fruit),ドリアン
ドリップ,drip,ドリップ
ドリップコーヒー,drip coffee,ドリップコーヒー
ドリフター,drifter,ドリフター
ドリブル,dribble (of a ball or puck),ドリブル
ドリブン,driven,ドリブン
ドリル,drill bit,ドリル
ドリンク,drink,ドリンク
弗,dollar,ドル
ドルクローズ,dollar clause,ドルクローズ
ドルシフト,dollar shift,ドルシフト
ドルショック,Nixon shock (1971 economic measures),ドルショック
ドルショップ,dollar shop,ドルショップ
ドルチェ,dessert (esp. in Italian cuisine),ドルチェ
ドルチッシモ,dolcissimo,ドルチッシモ
ドルビーサラウンド,Dolby surround,ドルビーサラウンド
ドルフィンキック,dolphin kick (swimming),ドルフィンキック
ドルマンスリーブ,dolman sleeve,ドルマンスリーブ
ドルメン,dolmen,ドルメン
ドルユーザンス,dollar usance,ドルユーザンス
ドル記号,dollar sign ($),ドルきごう
ドル札,dollar bill,ドルさつ
ドレープ,drape,ドレープ
ドレーンコック,drain cock,ドレーンコック
ドレス,dress,ドレス
ドレスアップ,dressing up,ドレスアップ
ドレスシャツ,dress shirt,ドレスシャツ
ドレススーツ,dress suit,ドレススーツ
ドレスメーカー,dressmaker,ドレスメーカー
ドレスメーキング,dressmaking,ドレスメーキング
ドレッサー,dresser,ドレッサー
ドレッシー,dressy,ドレッシー
ドレッシング,dressing,ドレッシング
ドレッシングルーム,dressing room,ドレッシングルーム
ドレメ,dressmaker,ドレメ
ドロー,draw,ドロー
ドローイング,drawing,ドローイング
ドローボール,draw ball,ドローボール
ドローンゲーム,drawn game,ドローンゲーム
ドローンワーク,drawnwork,ドローンワーク
ドロップ,drop,ドロップ
ドロップアウト,dropout,ドロップアウト
ドロップキック,drop-kick,ドロップキック
ドロップゴール,drop goal,ドロップゴール
ドロップハンドル,drop handle,ドロップハンドル
ドロンゲーム,drawn game,ドロンゲーム
ドロンワーク,drawnwork,ドロンワーク
ドン,Don (Spanish honorific),ドン
ドンキー,donkey,ドンキー
ドンタク,Sunday,ドンタク
ドンパチ,sound of pistol fire,ドンパチ
ドンファン,Don Juan,ドンファン
ドンマイ,don't worry about it,ドンマイ
ナーサリー,nursery,ナーサリー
ナーサリーテール,nursery tale,ナーサリーテール
ナース,nurse,ナース
ナースステーション,nurses' station,ナースステーション
ナースバンク,nurse bank,ナースバンク
ナーバス,nervous,ナーバス
ナイーブ,innocent,ナイーブ
ナイキハーキュリーズ,Nike Hercules (missile),ナイキハーキュリーズ
ナイジェリア,Nigeria,ナイジェリア
ナイス,nice,ナイス
ナイスガイ,nice guy,ナイスガイ
ナイスショット,nice shot (esp. in golf),ナイスショット
ナイスミドル,attractive middle-aged man,ナイスミドル
ナイター,game under lights (e.g. baseball),ナイター
ナイチンゲール,nightingale (Luscinia megarhynchos),ナイチンゲール
ナイト,knight,ナイト
ナイトウェア,nightwear,ナイトウェア
ナイトガウン,nightgown,ナイトガウン
ナイトキャップ,nightcap,ナイトキャップ
ナイトクラブ,nightclub,ナイトクラブ
ナイトクリーム,night cream,ナイトクリーム
ナイトゲーム,night game,ナイトゲーム
ナイトショー,night show,ナイトショー
ナイトスポット,nightspot,ナイトスポット
ナイトドレス,nightdress,ナイトドレス
ナイトテーブル,night table,ナイトテーブル
ナイトホスピタル,night hospital,ナイトホスピタル
ナイトラッチ,night latch,ナイトラッチ
ナイフ,knife,ナイフ
ナイフリッジ,knife ridge,ナイフリッジ
尼羅,Nile (river),ナイル
ナイルグリーン,Nile green,ナイルグリーン
ナイロン,nylon,ナイロン
ナイン,nine,ナイン
ナウ,trendy,ナウ
ナゲット,"nugget (e.g. gold, chicken, fish)",ナゲット
ＮＡＳＡ,National Aeronautics and Space Administration,ナサ
ナショナリズム,nationalism,ナショナリズム
ナショナリゼーション,nationalization,ナショナリゼーション
ナショナリティー,nationality,ナショナリティー
ナショナル,national,ナショナル
ナショナルアイデンティティー,national identity,ナショナルアイデンティティー
ナショナルアトラス,national atlas,ナショナルアトラス
ナショナルアド,national ad,ナショナルアド
ナショナルインタレスト,national interest,ナショナルインタレスト
ナショナルキャラクター,national character,ナショナルキャラクター
ナショナルゲーム,national game,ナショナルゲーム
ナショナルコスチューム,national costume,ナショナルコスチューム
ナショナルコンセンサス,national consensus,ナショナルコンセンサス
ナショナルコンベンション,national convention,ナショナルコンベンション
ナショナルスト,nationalist,ナショナルスト
ナショナルセキュリティー,national security,ナショナルセキュリティー
ナショナルセンター,national center of trade unions,ナショナルセンター
ナショナルチェーン,national chain,ナショナルチェーン
ナショナルトラスト,National Trust,ナショナルトラスト
ナショナルバンク,national bank,ナショナルバンク
ナショナルパーク,national park,ナショナルパーク
ナショナルブランド,national brand,ナショナルブランド
ナショナルプレステージ,national prestige,ナショナルプレステージ
ナショナルプロダクト,national product,ナショナルプロダクト
ナショナルホリデー,national holiday,ナショナルホリデー
ナショナルミニマム,national minimum,ナショナルミニマム
ナショナルリーグ,National League,ナショナルリーグ
ナスタースキー,National Standard Race ski,ナスタースキー
ナチ,Nazi,ナチ
ナチズム,Nazism,ナチズム
ナチュラライズ,naturalize,ナチュラライズ
ナチュラリスティック,naturalistic,ナチュラリスティック
ナチュラリスト,naturalist,ナチュラリスト
ナチュラリズム,naturalism,ナチュラリズム
ナチュラリゼーション,naturalization,ナチュラリゼーション
ナチュラル,natural,ナチュラル
ナチュラルウェーブ,natural wave,ナチュラルウェーブ
ナチュラルカラー,natural color,ナチュラルカラー
ナチュラルグリップ,natural grip,ナチュラルグリップ
ナチュラルサイエンス,natural science,ナチュラルサイエンス
ナチュラルセレクション,natural selection,ナチュラルセレクション
ナチュラルターン,natural turn,ナチュラルターン
ナチュラルチーズ,natural cheese,ナチュラルチーズ
ナチュラルフーズ,natural foods,ナチュラルフーズ
ナックル,knuckle,ナックル
ナックルパート,knuckle part,ナックルパート
ナックルフォア,knuckle four,ナックルフォア
ナックルボール,knuckleball,ナックルボール
ナッシング,nothing,ナッシング
ナット,nut (as in nut and bolt),ナット
ナップザック,knapsack,ナップザック
ＮＡＴＯ,North Atlantic Treaty Organization,ナトー
ナトリウム,sodium (Na),ナトリウム
ナトリウムランプ,sodium vapor lamp (vapour) (from Natrium lamp),ナトリウムランプ
ナノ,nano-,ナノ
ナノセカンド,nanosecond,ナノセカンド
ナバホ,Navaho,ナバホ
ナパーム,napalm,ナパーム
ナビゲーター,navigator,ナビゲーター
ナフサ,naphtha,ナフサ
ＮＡＦＴＡ,North American Free Trade Agreement,ナフタ
ナフタレン,naphthalene,ナフタレン
ナブスター,Navstar,ナブスター
ナプキン,(table) napkin,ナプキン
ナポリタン,Naporitan,ナポリタン
ナポレオン,Napoleon,ナポレオン
ナミビア,Namibia,ナミビア
ナリーグ,National League,ナリーグ
ナリシングクリーム,nourishing cream,ナリシングクリーム
ナリッシュ,nourish,ナリッシュ
ナリッシュメント,nourishment,ナリッシュメント
ナルシスト,narcissist,ナルシスト
ナルシシズム,narcissism,ナルシシズム
ナルシス,Narcissus,ナルシス
ナレーション,narration,ナレーション
ナレーター,narrator,ナレーター
ナローキャスティング,narrowcasting,ナローキャスティング
ナローシレエット,narrow silhouette,ナローシレエット
ナロードニキ,Narodniks (19th-century Russian populists),ナロードニキ
ナロウバンド,narrow-band,ナロウバンド
南京,Nanjing (China),ナンキン
ナンセンス,nonsense,ナンセンス
ナンセンスコメディー,nonsense comedy,ナンセンスコメディー
ナンバー,number,ナンバー
ナンバーエイト,number 8 (in rugby),ナンバーエイト
ナンバーディスプレー,number display,ナンバーディスプレー
ナンバープレート,number plate,ナンバープレート
ナンバーワン,number one,ナンバーワン
ナンバリング,numbering,ナンバリング
ナンバリングマシン,numbering machine,ナンバリングマシン
ニー,knee,ニー
ニーズ,needs,ニーズ
ニーソックス,knee-high socks,ニーソックス
ニート,neat,ニート
ニード,need,ニード
ニードル,needle,ニードル
ニーレングス,knee-length,ニーレングス
ニアピン,closest to pin,ニアピン
ニアミス,near miss,ニアミス
ニオブ,niobium (Nb),ニオブ
尼加拉瓦,Nicaragua,ニカラグア
ニクロム,Nichrome,ニクロム
ニグロスピリチュアル,Negro spiritual,ニグロスピリチュアル
ニコチン,nicotine,ニコチン
ニコニコ,with a friendly grin,ニコニコ
ニス,varnish,ニス
ニッカーズ,knickers,ニッカーズ
ニッカボッカ,knickerbockers,ニッカボッカ
ニック,nick,ニック
ニックネーム,nickname,ニックネーム
ニッケル,nickel (Ni),ニッケル
ニッケルカドミウム,nickel-cadmium,ニッケルカドミウム
ニット,knit,ニット
ニットウェア,knitwear,ニットウェア
ニッパー,nippers,ニッパー
ニトロ,nitro-,ニトロ
ニトログリセリン,nitroglycerin,ニトログリセリン
ニトロセルロース,nitrocellulose,ニトロセルロース
ニヒリスティック,nihilistic,ニヒリスティック
ニヒリスト,nihilist,ニヒリスト
ニヒリズム,nihilism,ニヒリズム
ニヒル,nihilistic,ニヒル
ニモニック,Nimonic (nickel-chromium alloy),ニモニック
ニュー,new,ニュー
ニューアカデミズム,new academism,ニューアカデミズム
ニューアダルト,person recently turned 20,ニューアダルト
ニューエイジ,New Age (movement),ニューエイジ
ニューカマー,newcomer,ニューカマー
ニューサウスウェールズ,New South Wales,ニューサウスウェールズ
ニューサンス,nuisance,ニューサンス
ニューシティー,new city,ニューシティー
新西蘭,New Zealand,ニュージーランド
ニュージャージー,New Jersey,ニュージャージー
ニュージャーナリズム,new journalism,ニュージャーナリズム
ニュージャズ,new jazz,ニュージャズ
ニュース,news,ニュース
ニュースアナリスト,news analyst,ニュースアナリスト
ニュースキャスター,newscaster,ニュースキャスター
ニュースグループ,newsgroup (on Usenet),ニュースグループ
ニュースサーバー,news-server,ニュースサーバー
ニュースシステム,news-system,ニュースシステム
ニュースステーション,news-station,ニュースステーション
ニューススプール,news-spool,ニューススプール
ニュースソース,news source,ニュースソース
ニュースバリュー,news value,ニュースバリュー
ニュースフィード,news-feed,ニュースフィード
ニュースマガジン,newsmagazine,ニュースマガジン
ニュースリーダー,news-reader,ニュースリーダー
ニュースルーム,newsroom,ニュースルーム
ニュースレター,newsletter,ニュースレター
ニュース映画,newsreel,ニュースえいが
ニュース媒体,news media,ニュースばいたい
ニューセラミックス,new ceramics,ニューセラミックス
ニュータイプ,new type,ニュータイプ
ニュータウン,new town (esp. planned satellite towns of Osaka Prefecture),ニュータウン
ニュートラ,new traditional,ニュートラ
ニュートラッド,new traditional,ニュートラッド
ニュートラディッショナル,new traditional,ニュートラディッショナル
ニュートラリズム,neutralism,ニュートラリズム
ニュートラル,neutral,ニュートラル
ニュートロン,neutron,ニュートロン
ニュートン,newton (N) (SI unit of force),ニュートン
ニューハンプシャー,New Hampshire,ニューハンプシャー
ニューファウンドランド,Newfoundland,ニューファウンドランド
ニューファッション,latest trends,ニューファッション
ニューフェイス,new face,ニューフェイス
ニューフロンティア,new frontier,ニューフロンティア
ニューブランズウィック,New Brunswick,ニューブランズウィック
ニュープアー,the new poor,ニュープアー
ニューベジネス,new business,ニューベジネス
ニューボイス,new voice,ニューボイス
ニューミュージック,new music,ニューミュージック
ニューメキシコ,New Mexico,ニューメキシコ
ニューメディア,new media,ニューメディア
ニューメディアコミュニティー,new media community,ニューメディアコミュニティー
ニューモード,latest fashion,ニューモード
ニューヨーカー,New Yorker,ニューヨーカー
紐育,New York,ニューヨーク
ニューライト,New Right,ニューライト
ニューラル,neural,ニューラル
ニューラルネット,neural net,ニューラルネット
ニューラルネットワーク,neural network,ニューラルネットワーク
ニューリーダー,new leader,ニューリーダー
ニューリアリズム,new realism,ニューリアリズム
ニュールック,new look,ニュールック
ニューレイヤーズルック,new layers look,ニューレイヤーズルック
ニューレフト,new left,ニューレフト
ニューロ,neuro-,ニューロ
ニューローラー,new roller,ニューローラー
ニューロコンピューティング,neuro-computing,ニューロコンピューティング
ニューロン,neuron,ニューロン
ニュアンス,nuance,ニュアンス
ニンバスグレー,nimbus gray,ニンバスグレー
ニンフ,nymph,ニンフ
ニンフォマニア,nymphomania,ニンフォマニア
にんまり,with a complacent smile,にんまり
ニ短調,D minor,ニたんちょう
ニ長調,D major,ニちょうちょう
ヌーディスト,nudist,ヌーディスト
ヌーディズム,nudism,ヌーディズム
ヌード,nude,ヌード
ヌードスタジオ,nude studio,ヌードスタジオ
ヌードマウス,nude mouse,ヌードマウス
ヌードモデル,nude model,ヌードモデル
ヌードル,noodle,ヌードル
ヌーベル,mid-length novel,ヌーベル
ヌーヴェルヴァーグ,New Wave (esp. in cinema),ヌーヴェルヴァーグ
ヌーボー,modern,ヌーボー
ヌガー,nougat,ヌガー
ヌクレオチド,nucleotide,ヌクレオチド
ヌル,null,ヌル
双節棍,nunchaku (two linked fighting sticks),ぬんちゃく
ネイチャートレイル,nature trail,ネイチャートレイル
ネイティブスピーカー,native speaker,ネイティブスピーカー
ネイビー,navy,ネイビー
ネイビールック,navy look,ネイビールック
ネーブル,navel orange,ネーブル
ネーブルオレンジ,navel orange,ネーブルオレンジ
ネーミング,naming (esp. of a commercial product or company),ネーミング
ネーム,name,ネーム
ネームサーバ,name server,ネームサーバ
ネームスペース,namespace,ネームスペース
ネームバリュー,name recognition,ネームバリュー
ネームプレート,nameplate,ネームプレート
ネイルエナメル,nail enamel,ネイルエナメル
ネイルファイル,nail file,ネイルファイル
ネイルポリッシュ,nail polish,ネイルポリッシュ
ネアンデルタール,Neanderthal,ネアンデルタール
ネイキッド,naked,ネイキッド
ネイキッドバイク,standard motorcycle,ネイキッドバイク
ネイティブ,native,ネイティブ
ネオ,neo,ネオ
ネオイデアリズム,neoidealism,ネオイデアリズム
ネオインプレッショニズム,neoimpressionism,ネオインプレッショニズム
ネオクラシシズム,neoclassicism,ネオクラシシズム
ネオコロニアリズム,neocolonialism,ネオコロニアリズム
ネオシュガー,neosugar,ネオシュガー
ネオジム,neodymium (Nd),ネオジム
ネオナチ,neo-Nazi,ネオナチ
ネオフィリア,neophilia,ネオフィリア
ネオポリス,neopolis,ネオポリス
ネオリアリズム,neorealism,ネオリアリズム
ネオリバラル,neoliberal,ネオリバラル
ネオレジスト,neologist,ネオレジスト
ネオロジズム,neologism,ネオロジズム
ネオロジー,neology,ネオロジー
ネオロマンティシズム,neo-romanticism,ネオロマンティシズム
ネオン,neon (Ne),ネオン
ネオンサイン,neon sign,ネオンサイン
ネオンランプ,neon lamp,ネオンランプ
ネガ,negative,ネガ
ネガカラー,negative color,ネガカラー
ネガティブ,negative (e.g. thinking),ネガティブ
ネクスト,next,ネクスト
ネクター,nectar,ネクター
ネクタイ,tie,ネクタイ
ネクタイピン,necktie pin,ネクタイピン
ネクロフィリア,necrophilia,ネクロフィリア
ネクロフォビア,necrophobia,ネクロフォビア
ネグリジェ,negligee,ネグリジェ
ネグレクト,neglect,ネグレクト
ネゴシエーション,negotiation,ネゴシエーション
ネス,-ness,ネス
ネスティング,nesting,ネスティング
ネスト,nest,ネスト
ネストテーブル,nest table,ネストテーブル
ネッカチーフ,neckerchief,ネッカチーフ
ネッキング,necking,ネッキング
ネック,neck,ネック
ネックチェーン,neck chain,ネックチェーン
ネックライン,neckline,ネックライン
ネックレス,necklace,ネックレス
ネット,network,ネット
ネットイン,net in (tennis),ネットイン
ネットスコア,net score,ネットスコア
ネットトポロジー,net(work) topology,ネットトポロジー
ネットプライス,net price,ネットプライス
ネットプレー,"net play (tennis, etc.)",ネットプレー
ネットボール,netball,ネットボール
ネットマスク,net-mask,ネットマスク
ネットワーカー,networker,ネットワーカー
ネットワーキング,networking,ネットワーキング
ネットワーク,network,ネットワーク
ネットワークアドミン,network administration,ネットワークアドミン
ネバーギブアップ,Never give up!,ネバーギブアップ
ネバーハップン,Never happen,ネバーハップン
ネバーマインド,never mind,ネバーマインド
ネバダ,Nevada,ネバダ
ネフローゼ,nephrosis,ネフローゼ
ネフロン,nephron,ネフロン
ネブラスカ,Nebraska,ネブラスカ
ネプチューン,Neptune (Roman god),ネプチューン
ネプツニウム,neptunium (Np),ネプツニウム
ネベ,permanent snowpatch,ネベ
ネポチズム,nepotism,ネポチズム
ネルソン,nelson (wrestling hold),ネルソン
ノーアイロン,drip-dry,ノーアイロン
ノーカーボン,no carbon (paper),ノーカーボン
ノーカウント,not counted (in the score),ノーカウント
ノーカット,uncut (movie),ノーカット
ノークラッチ,automatic transmission,ノークラッチ
ノーコメント,no comment,ノーコメント
ノーサイド,no side (rugby),ノーサイド
ノーサンキュー,"No, thank you",ノーサンキュー
ノース,north,ノース
ノースウェスタン,northwestern,ノースウェスタン
ノースウェスト准州,Northwest Territories,ノースウェストじゅんしゅう
ノースカロライナ,North Carolina,ノースカロライナ
ノースダコタ,North Dakota,ノースダコタ
ノースモーキング,No smoking,ノースモーキング
ノータイム,time in,ノータイム
ノータッチ,without touching,ノータッチ
ノータム,notice to airmen,ノータム
ノート,notebook,ノート
ノートリアス,notorious,ノートリアス
ノード,node,ノード
ノーパーキング,No parking,ノーパーキング
ノーパン,panty-less,ノーパン
ノーヒットノーランゲーム,no-hit no-run game,ノーヒットノーランゲーム
ノーフロスト,"self-defrosting equipment (freezer, refrigerator, etc.)",ノーフロスト
ノーブラ,not wearing a bra,ノーブラ
ノーブランド,off-brand,ノーブランド
ノーブル,noble,ノーブル
ノープレー,match suspension,ノープレー
ノーベリウム,nobelium (No),ノーベリウム
ノーベル賞,Nobel Prize,ノーベルしょう
ノーベル平和賞,Nobel Peace Prize,ノーベルへいわしょう
ノーペーパーソサイエティー,no-paper society,ノーペーパーソサイエティー
ノーマーク,not covered (e.g. of a sports opponent),ノーマーク
ノーマライズ,normalize,ノーマライズ
ノーマル,normal,ノーマル
ノーマルテープ,normal tape,ノーマルテープ
ノーモア,no more,ノーモア
ノーランストッキング,no-run stockings,ノーランストッキング
ノーワークノーペイ,no work no pay,ノーワークノーペイ
ＮＯＲ,NOR (Boolean operator),ノア
ノイジーマイノリティ,noisy minority,ノイジーマイノリティ
ノイジネス,noisiness,ノイジネス
ノイズ,noise,ノイズ
ノイズィ,noisy,ノイズィ
ノイズリダクション,noise reduction,ノイズリダクション
ノイズレス,noiseless,ノイズレス
ノイマン型,von Neumann architecture,ノイマンがた
ノイローゼ,neurosis,ノイローゼ
ノイロン,neuron,ノイロン
ノウ,know,ノウ
ノウテイション,notation,ノウテイション
ノウハウ,know-how,ノウハウ
ノエル,Christmas,ノエル
ノギス,vernier calipers,ノギス
ノクターン,nocturne,ノクターン
ノクトビジョン,infrared imaging (with infrared lighting),ノクトビジョン
ノスタルジー,nostalgia,ノスタルジー
ノスタルジア,nostalgia,ノスタルジア
ノズル,nozzle,ノズル
ノッカー,knocker,ノッカー
ノッキング,(engine) knocking,ノッキング
ノック,knock,ノック
ノックアウト,knockout,ノックアウト
ノックオン,knock-on (rugby foul),ノックオン
ノックダウン,knockdown,ノックダウン
ノッチ,notch,ノッチ
ノッチバック,notchback,ノッチバック
ノッチフィルタ,notch-filter,ノッチフィルタ
ノット,knot (fastening),ノット
ノバ,nova,ノバ
ノバスコーシャ,Nova Scotia,ノバスコーシャ
ノブ,knob,ノブ
ノベル,novel,ノベル
ノベルティ,novelty,ノベルティ
ノミナル,nominal,ノミナル
ノミナルプライス,nominal price,ノミナルプライス
ノミネーション,nomination,ノミネーション
ノミネート,nomination,ノミネート
ノモグラフ,nomograph,ノモグラフ
ノモグラム,nomogram,ノモグラム
ノライズム,Noraism,ノライズム
諾威,Norway,ノルウェー
ノルディック,Nordic,ノルディック
ノン,non-,ノン
ノンアタッチメントディジーズ,non-attachment disease,ノンアタッチメントディジーズ
ノンキャリア,non career (i.e. civil servants not on track for high-ranking positions),ノンキャリア
ノンクリング,non cling,ノンクリング
ノンストアリテーリング,non store retailing,ノンストアリテーリング
ノンストップ,nonstop,ノンストップ
ノンスリップ,nonslip,ノンスリップ
ノンセクション,unaffiliated,ノンセクション
ノンセクト,non-sectarian,ノンセクト
ノンターミナル,non-terminal,ノンターミナル
ノンタイトルマッチ,nontitle match,ノンタイトルマッチ
ノンチャラン,nonchalant,ノンチャラン
ノントロッポ,non troppo,ノントロッポ
ノンバーバル,non-verbal,ノンバーバル
ノンバーバルコミュニケーション,non-verbal communication,ノンバーバルコミュニケーション
ノンフィクション,nonfiction,ノンフィクション
ノンブック,nonbook,ノンブック
ノンブル,page number,ノンブル
ノンプロ,non-professional,ノンプロ
ノンポリ,nonpolitical,ノンポリ
ノンポリティカル,nonpolitical,ノンポリティカル
ノンラン,nonrun (stocking),ノンラン
ハーキュリーズ,Hercules,ハーキュリーズ
ハーケン,piton (metal support peg used when climbing),ハーケン
ハーケンクロイツ,swastika (45-degree clockwise form used as a Nazi symbol),ハーケンクロイツ
ハート,heart,ハート
ハートブレーク,heartbreak,ハートブレーク
ハード,hard,ハード
ハードウェア,hardware (esp. computer),ハードウェア
ハードカバー,hardcover,ハードカバー
ハードコート,hard court,ハードコート
ハードコア,hardcore,ハードコア
ハードコピー,hard-copy,ハードコピー
ハードセル,hard sell,ハードセル
ハードディスク,hard disk,ハードディスク
ハードトップ,hardtop,ハードトップ
ハードトレーニグ,hard training,ハードトレーニグ
ハードドリンク,alcoholic drink,ハードドリンク
ハードボード,hardboard,ハードボード
ハードボイルド,"hard-boiled (person, style, etc.)",ハードボイルド
ハードリンク,hard-link,ハードリンク
ハードリング,hurdling,ハードリング
ハードル,hurdle,ハードル
ハードロック,hard rock,ハードロック
ハードワイアリング,hard-wiring,ハードワイアリング
ハーバー,harbor,ハーバー
ハーフ,half,ハーフ
ハーフウェーハウス,halfway house,ハーフウェーハウス
ハーフサイズカメラ,half-size camera,ハーフサイズカメラ
ハーフスイング,"half swing (baseball, golf)",ハーフスイング
ハーフタイム,half time,ハーフタイム
ハーフトーン,half tone,ハーフトーン
ハーフバック,halfback,ハーフバック
ハーフボレー,half volley,ハーフボレー
ハーフメイド,half made (e.g. clothes that are already cut and basted when purchased),ハーフメイド
ハーブ,herb,ハーブ
ハーブティー,herbal tea,ハーブティー
ハープ,harp,ハープ
ハープーン,harpoon,ハープーン
ハープシコード,harpsichord,ハープシコード
ハーモナイズ,harmonize,ハーモナイズ
ハーモニー,harmony,ハーモニー
ハーモニカ,harmonica,ハーモニカ
ハーラーダービー,race to be the pitcher with the most wins in the season,ハーラーダービー
ハーレム,harem,ハーレム
ハーレムパンツ,harem pants,ハーレムパンツ
ハイ,high (spirits),ハイ
ハイアラーキー,hierarchy,ハイアラーキー
ハイアライ,jai alai,ハイアライ
ハイウェイ,highway,ハイウェイ
ハイウェーパトロール,highway patrol,ハイウェーパトロール
ハイエナ,hyena,ハイエナ
ハイエンド,high-end,ハイエンド
ハイオク,high octane,ハイオク
ハイオクタン,high octane,ハイオクタン
ハイカー,hiker,ハイカー
ハイカラ,stylish,ハイカラ
ハイキー,high-key,ハイキー
ハイキートーン,high-key tone,ハイキートーン
ハイキング,hiking,ハイキング
ハイク,hike,ハイク
ハイクオリティ,high quality,ハイクオリティ
ハイクラス,high class,ハイクラス
ハイグレード,high grade,ハイグレード
ハイサルファ,high-sulfur (crude oil),ハイサルファ
ハイジャック,hijack,ハイジャック
ハイジャッンプ,high jump,ハイジャッンプ
ハイスクール,high school,ハイスクール
ハイスピード,high speed,ハイスピード
ハイスピードスチール,high-speed steel,ハイスピードスチール
ハイセンス,refined taste,ハイセンス
ハイゼニッククリーム,hygienic cream,ハイゼニッククリーム
